"var","Plant","Leaf"
"1.RR.NA_5909",1,2
"2.RR.BMX_Potencia",1,2
"3.RR.BRS_388",1,2
"4.RR.BRS_399",1,2
"5.RR.BRS_359",1,2
"6.RR.BRS_360",1,2
"7.IPRO.DM_6563",1,2
"8.IPRO.M_6410",1,2
"9.IPRO.BRB_11-00329",1,2
"10.IPRO.BRB_11-01351",1,2
"11.IPRO.BRB_11-01964",1,2
"12.IPRO.BRB_11-01997",1,2
"13.IPRO.BRB_11-02865",1,2
"14.IPRO.BRB_12-20626",1,2
"15.IPRO.BRB_12-20628",1,2
"16.IPRO.BRB_12-20634",1,2
"17.CV.BRS_397",1,2
"18.CV.BRS_391",1,2
"19.RR.M9144",1,2
"1.RR.NA_5909",2,2
"2.RR.BMX_Potencia",2,2
"3.RR.BRS_388",2,2
"4.RR.BRS_399",2,2
"5.RR.BRS_359",2,2
"6.RR.BRS_360",2,2
"7.IPRO.DM_6563",2,2
"8.IPRO.M_6410",2,2
"9.IPRO.BRB_11-00329",2,2
"10.IPRO.BRB_11-01351",2,2
"11.IPRO.BRB_11-01964",2,2
"12.IPRO.BRB_11-01997",2,2
"13.IPRO.BRB_11-02865",2,2
"14.IPRO.BRB_12-20626",2,2
"15.IPRO.BRB_12-20628",2,2
"16.IPRO.BRB_12-20634",2,2
"17.CV.BRS_397",2,2
"18.CV.BRS_391",2,2
"19.RR.M9144",2,2
"1.RR.NA_5909",3,2
"2.RR.BMX_Potencia",3,2
"3.RR.BRS_388",3,2
"4.RR.BRS_399",3,2
"5.RR.BRS_359",3,2
"6.RR.BRS_360",3,2
"7.IPRO.DM_6563",3,2
"8.IPRO.M_6410",3,2
"9.IPRO.BRB_11-00329",3,2
"10.IPRO.BRB_11-01351",3,2
"11.IPRO.BRB_11-01964",3,2
"12.IPRO.BRB_11-01997",3,2
"13.IPRO.BRB_11-02865",3,2
"14.IPRO.BRB_12-20626",3,2
"15.IPRO.BRB_12-20628",3,2
"16.IPRO.BRB_12-20634",3,2
"17.CV.BRS_397",3,2
"18.CV.BRS_391",3,2
"19.RR.M9144",3,2
"1.RR.NA_5909",4,2
"2.RR.BMX_Potencia",4,2
"3.RR.BRS_388",4,2
"4.RR.BRS_399",4,2
"5.RR.BRS_359",4,2
"6.RR.BRS_360",4,2
"7.IPRO.DM_6563",4,2
"8.IPRO.M_6410",4,2
"9.IPRO.BRB_11-00329",4,2
"10.IPRO.BRB_11-01351",4,2
"11.IPRO.BRB_11-01964",4,2
"12.IPRO.BRB_11-01997",4,2
"13.IPRO.BRB_11-02865",4,2
"14.IPRO.BRB_12-20626",4,2
"15.IPRO.BRB_12-20628",4,2
"16.IPRO.BRB_12-20634",4,2
"17.CV.BRS_397",4,2
"18.CV.BRS_391",4,2
"19.RR.M9144",4,2
"1.RR.NA_5909",5,2
"2.RR.BMX_Potencia",5,2
"3.RR.BRS_388",5,2
"4.RR.BRS_399",5,2
"5.RR.BRS_359",5,2
"6.RR.BRS_360",5,2
"7.IPRO.DM_6563",5,2
"8.IPRO.M_6410",5,2
"9.IPRO.BRB_11-00329",5,2
"10.IPRO.BRB_11-01351",5,2
"11.IPRO.BRB_11-01964",5,2
"12.IPRO.BRB_11-01997",5,2
"13.IPRO.BRB_11-02865",5,2
"14.IPRO.BRB_12-20626",5,2
"15.IPRO.BRB_12-20628",5,2
"16.IPRO.BRB_12-20634",5,2
"17.CV.BRS_397",5,2
"18.CV.BRS_391",5,2
"19.RR.M9144",5,2
"1.RR.NA_5909",6,2
"2.RR.BMX_Potencia",6,2
"3.RR.BRS_388",6,2
"4.RR.BRS_399",6,2
"5.RR.BRS_359",6,2
"6.RR.BRS_360",6,2
"7.IPRO.DM_6563",6,2
"8.IPRO.M_6410",6,2
"9.IPRO.BRB_11-00329",6,2
"10.IPRO.BRB_11-01351",6,2
"11.IPRO.BRB_11-01964",6,2
"12.IPRO.BRB_11-01997",6,2
"13.IPRO.BRB_11-02865",6,2
"14.IPRO.BRB_12-20626",6,2
"15.IPRO.BRB_12-20628",6,2
"16.IPRO.BRB_12-20634",6,2
"17.CV.BRS_397",6,2
"18.CV.BRS_391",6,2
"19.RR.M9144",6,2
"1.RR.NA_5909",1,3
"2.RR.BMX_Potencia",1,3
"3.RR.BRS_388",1,3
"4.RR.BRS_399",1,3
"5.RR.BRS_359",1,3
"6.RR.BRS_360",1,3
"7.IPRO.DM_6563",1,3
"8.IPRO.M_6410",1,3
"9.IPRO.BRB_11-00329",1,3
"10.IPRO.BRB_11-01351",1,3
"11.IPRO.BRB_11-01964",1,3
"12.IPRO.BRB_11-01997",1,3
"13.IPRO.BRB_11-02865",1,3
"14.IPRO.BRB_12-20626",1,3
"15.IPRO.BRB_12-20628",1,3
"16.IPRO.BRB_12-20634",1,3
"17.CV.BRS_397",1,3
"18.CV.BRS_391",1,3
"19.RR.M9144",1,3
"1.RR.NA_5909",2,3
"2.RR.BMX_Potencia",2,3
"3.RR.BRS_388",2,3
"4.RR.BRS_399",2,3
"5.RR.BRS_359",2,3
"6.RR.BRS_360",2,3
"7.IPRO.DM_6563",2,3
"8.IPRO.M_6410",2,3
"9.IPRO.BRB_11-00329",2,3
"10.IPRO.BRB_11-01351",2,3
"11.IPRO.BRB_11-01964",2,3
"12.IPRO.BRB_11-01997",2,3
"13.IPRO.BRB_11-02865",2,3
"14.IPRO.BRB_12-20626",2,3
"15.IPRO.BRB_12-20628",2,3
"16.IPRO.BRB_12-20634",2,3
"17.CV.BRS_397",2,3
"18.CV.BRS_391",2,3
"19.RR.M9144",2,3
"1.RR.NA_5909",3,3
"2.RR.BMX_Potencia",3,3
"3.RR.BRS_388",3,3
"4.RR.BRS_399",3,3
"5.RR.BRS_359",3,3
"6.RR.BRS_360",3,3
"7.IPRO.DM_6563",3,3
"8.IPRO.M_6410",3,3
"9.IPRO.BRB_11-00329",3,3
"10.IPRO.BRB_11-01351",3,3
"11.IPRO.BRB_11-01964",3,3
"12.IPRO.BRB_11-01997",3,3
"13.IPRO.BRB_11-02865",3,3
"14.IPRO.BRB_12-20626",3,3
"15.IPRO.BRB_12-20628",3,3
"16.IPRO.BRB_12-20634",3,3
"17.CV.BRS_397",3,3
"18.CV.BRS_391",3,3
"19.RR.M9144",3,3
"1.RR.NA_5909",4,3
"2.RR.BMX_Potencia",4,3
"3.RR.BRS_388",4,3
"4.RR.BRS_399",4,3
"5.RR.BRS_359",4,3
"6.RR.BRS_360",4,3
"7.IPRO.DM_6563",4,3
"8.IPRO.M_6410",4,3
"9.IPRO.BRB_11-00329",4,3
"10.IPRO.BRB_11-01351",4,3
"11.IPRO.BRB_11-01964",4,3
"12.IPRO.BRB_11-01997",4,3
"13.IPRO.BRB_11-02865",4,3
"14.IPRO.BRB_12-20626",4,3
"15.IPRO.BRB_12-20628",4,3
"16.IPRO.BRB_12-20634",4,3
"17.CV.BRS_397",4,3
"18.CV.BRS_391",4,3
"19.RR.M9144",4,3
"1.RR.NA_5909",5,3
"2.RR.BMX_Potencia",5,3
"3.RR.BRS_388",5,3
"4.RR.BRS_399",5,3
"5.RR.BRS_359",5,3
"6.RR.BRS_360",5,3
"7.IPRO.DM_6563",5,3
"8.IPRO.M_6410",5,3
"9.IPRO.BRB_11-00329",5,3
"10.IPRO.BRB_11-01351",5,3
"11.IPRO.BRB_11-01964",5,3
"12.IPRO.BRB_11-01997",5,3
"13.IPRO.BRB_11-02865",5,3
"14.IPRO.BRB_12-20626",5,3
"15.IPRO.BRB_12-20628",5,3
"16.IPRO.BRB_12-20634",5,3
"17.CV.BRS_397",5,3
"18.CV.BRS_391",5,3
"19.RR.M9144",5,3
"1.RR.NA_5909",6,3
"2.RR.BMX_Potencia",6,3
"3.RR.BRS_388",6,3
"4.RR.BRS_399",6,3
"5.RR.BRS_359",6,3
"6.RR.BRS_360",6,3
"7.IPRO.DM_6563",6,3
"8.IPRO.M_6410",6,3
"9.IPRO.BRB_11-00329",6,3
"10.IPRO.BRB_11-01351",6,3
"11.IPRO.BRB_11-01964",6,3
"12.IPRO.BRB_11-01997",6,3
"13.IPRO.BRB_11-02865",6,3
"14.IPRO.BRB_12-20626",6,3
"15.IPRO.BRB_12-20628",6,3
"16.IPRO.BRB_12-20634",6,3
"17.CV.BRS_397",6,3
"18.CV.BRS_391",6,3
"19.RR.M9144",6,3
